MODULE	SOUS_MODULE	Type	Exercice	Série	Données	Placement réponse	Réponse	Catégorie	Verbe	Fichier Audio	Audio 1	Audio 2	Audio 3 	Audio 4	
7	1	Classique	1	1	Il;a;accueilli;favorablement;tes;idées;et;[les];/a/;/financées/;en;partie;.	[6,3,1],[6,8,5];[3],[7,4,1]				s01d01.mp3					
7	1	Classique	1	2	Il;a;accueilli;favorablement;tes;idées;et;[en];/a/;/financé/;une;partie;.	[6,3,1],[6,10,5];[3],[7,1,1]				s01d02.mp3					
7	1	Classique	1	3	J';ai;vu;ta;proposition;et;j';[en];/ai/;/parlé/;à;Rémi;.	[6,1,1],[6,5,5];[3],[7,1,1]				s01d03.mp3					
7	1	Classique	1	4	J';ai;vu;ta;proposition;et;je;[l';]/ai/;/appréciée/;.	[6,1,1],[6,3,5];[3],[7,2,1]				s01d04.mp3					
7	1	Classique	1	5	J';ai;acheté;des;fournitures;[que];j';/ai/;immédiatement;/distribuées/;.	[6,1,1],[6,9,5];[3],[7,4,1]				s01d05.mp3					
7	1	Classique	1	6	J';ai;acheté;des;fournitures;et;j';[en];/ai/;immédiatement;/distribué/;à;tout;le;monde;.	[6,1,1],[6,10,5];[3],[7,1,1]				s01d06.mp3					
7	1	Classique	1	7	La;jeune;équipe;a;gagné;tous;les;matchs;[qu';]elle;/a/;/joués/;.	[6,3,2],[6,9,4];[3],[7,3,1]				s01d07.mp3					
7	1	Classique	1	8	La;jeune;équipe;a;joué;huit;matchs;et;[en];/a/;/gagné/;six;.	[6,3,2],[6,10,4];[3],[7,1,1]				s01d08.mp3					
7	1	Classique	1	9	Théo;a;rapporté;deux;caisses;[qu';]il;/a/;/laissées/;à;l';entrée;du;magasin;.	[6,3,1],[6,9,5];[3],[7,4,1]				s01d09.mp3					
7	1	Classique	1	10	Théo;a;rapporté;deux;caisses;et;il;[en];/a/;/laissé/;une;à;l';entrée;du;magasin;.	[6,3,1],[6,10,5];[3],[7,1,1]				s01d10.mp3					
7	1	Classique	1	11	J';ai;récupéré;les;affiches;chez;l';imprimeur;et;je;[les];/ai/;/placardées/;.	[6,1,2],[6,8,5];[3],[7,4,1]				s01d11.mp3					
7	1	Classique	1	12	J';ai;récupéré;les;affiches;chez;l';imprimeur;et;j';[en];/ai/;/placardé/;la;moitié;.	[6,1,2],[6,10,5];[3],[7,1,1]				s01d12.mp3					
7	2	Classique	1	1	Théo;et;Mehdi;[t';]/avaient/;/avertie/;?	[6,8,1],[6,2,5],[3],[7,2,3]				s01d01.mp3					
7	2	Classique	1	2	Laura;[t';]/avait/;pourtant;/informé/;.	[6,3,2],[6,2,4],[3],[7,1,1]				s01d02.mp3					
7	2	Classique	1	3	Notre;offre;[les];/a/;manifestement;/surpris/;.	[6,3,2],[6,8,4],[3],[7,3,5]				s01d03.mp3					
7	2	Classique	1	4	Pour;quelle;raison;[les];/aviez/-vous;/convoquées/;?	[6,7,1],[6,8,5],[3],[7,4,1]				s01d04.mp3					
7	2	Classique	1	5	Tu;[nous];/as/;/prévenus/;un;peu;tard;.	[6,2,2],[6,6,4],[3],[7,3,2]				s01d05.mp3					
7	2	Classique	1	6	Vous;[l';]/avez/;/crue/;?	[6,7,1],[6,3,5],[3],[7,2,2]				s01d06.mp3					
7	2	Classique	1	7	[L';]/avez/-vous;/reconnue/;?	[6,7,2],[6,3,5],[3],[7,2,2]				s01d07.mp3					
7	2	Classique	1	8	Ils;[t';]/ont/;tout;de;suite;/engagée/;?	[6,8,1],[6,2,5],[3],[7,2,1]				s01d08.mp3					
7	2	Classique	1	9	Nous;[les];/avions/;tout;de;suite;/repérées/;.	[6,6,1],[6,8,5],[3],[7,4,1]				s01d09.mp3					
7	2	Classique	1	10	Elles;[l';]/avaient/;/acceptée/;.	[6,8,2],[6,3,5],[3],[7,2,1]				s01d10.mp3					
7	2	Classique	1	11	Elles;[t';]/ont/;/écouté/;attentivement;.	[6,8,2],[6,2,4],[3],[7,1,1]				s01d11.mp3					
7	2	Classique	1	12	Quand;[vous];/avaient/-elles;/rejoints/;?	[6,8,2],[6,7,4],[3],[7,3,4]				s01d12.mp3					
7	3	Classique	1	1					apprendre						
7	3	Classique	1	1	une;technique;/apprise/;.	2;1;[3,2,12]				s01d01A.mp3					
7	3	Classique	1	1	des;métiers;/appris/;.	2;1;[3,3,12]				s01d01B.mp3					
7	3	Classique	1	1	J';ai;/appris/;la;nouvelle;.	[7,1,5];2;1				s01d01C.mp3					
7	3	Classique	1	1	Je;l';ai;/apprise/;.	[7,2,5]				s01d01D.mp3					
7	3	Classique	1	2					ouvrir						
7	3	Classique	1	2	une;porte;/ouverte/;.	2;1;[3,2,11]				s01d02A.mp3					
7	3	Classique	1	2	un;esprit;/ouvert/;.	2;1;[3,1,11]				s01d02B.mp3					
7	3	Classique	1	2	On;a;/ouvert/;la;fenêtre;.	[7,1,4],2,1]				s01d02C.mp3					
7	3	Classique	1	2	On;l';a;/ouverte/;.	[7,2,4]				s01d02D.mp3					
7	3	Classique	1	3					convaincre						
7	3	Classique	1	3	une;assemblée;/convaincue/;.	2;1;[3,2,9]				s01d03A.mp3					
7	3	Classique	1	3	des;protagonistes;/convaincus/;.	2;1;[3,3,9]				s01d03B.mp3					
7	3	Classique	1	3	Ils;ont;/convaincu/;leurs;interlocuteurs;.	[7,1,2];2;1]				s01d03C.mp3					
7	3	Classique	1	3	Ils;les;ont;/convaincus/;.	[7,3,2]				s01d03D.mp3					
7	3	Classique	1	4					atteindre						
7	3	Classique	1	4	des;cibles;/atteintes/.;	2;1;[3,4,11]				s01d04A.mp3					
7	3	Classique	1	4	un;but;/atteint/;.	2;1;[3,1,11]				s01d04B.mp3					
7	3	Classique	1	4	Les;organisateurs;ont;/atteint/;leur;objectif;.	2;1;[7,1,4];2;1]				s01d04C.mp3					
7	3	Classique	1	4	Ils;l';ont;/atteint/;.	[7,1,4]				s01d04D.mp3					
7	3	Classique	1	5					établir						
7	3	Classique	1	5	un;règlement;/établi/;.	2;1;[3,1,10]				s01d05A.mp3					
7	3	Classique	1	5	des;règles;/établies/;.	2;1;[3,4,10]				s01d05B.mp3					
7	3	Classique	1	5	Ils;ont;/établi/;une;convention;.	[7,1,3];2;1				s01d05C.mp3					
7	3	Classique	1	5	Ils;l';ont;/établie/;.	6;6;[7,2,3]				s01d05D.mp3					
7	3	Classique	1	6					payer						
7	3	Classique	1	6	une;facture;/payée/;.	2;1;[3,2,8]				s01d06A.mp3					
7	3	Classique	1	6	des;loyers;/payés/;.	2;1;[3,3,8]				s01d06B.mp3					
7	3	Classique	1	6	Elles;ont;/payé/;leur;inscription;.	[7,1,1];2;1				s01d06C.mp3					
7	3	Classique	1	6	Elles;l';ont;/payée/;.	[7,2,1]				s01d06D.mp3					
7	3	Classique	1	7					perdre						
7	3	Classique	1	7	une;bataille;/perdue/;.	2;1;[3,2,9]				s01d07A.mp3					
7	3	Classique	1	7	des;combats;/perdus/;.	2;1;[3,3,9]				s01d07B.mp3					
7	3	Classique	1	7	Il;avait;/perdu/;tes;coordonnées;.	[7,1,2];2;1				s01d07C.mp3					
7	3	Classique	1	7	Il;les;avait;/perdues/;.	[7,4,2]				s01d07D.mp3					
7	3	Classique	1	8					soumettre						
7	3	Classique	1	8	des;idées;/soumises/;.	2;1;[3,4,12]				s01d08A.mp3					
7	3	Classique	1	8	un;projet;/soumis/;.	2;1;[3,1,12]				s01d08B.mp3					
7	3	Classique	1	8	Le;groupe;avait;/soumis/;des;propositions;.	2;1[7,1,5];2;1				s01d08C.mp3					
7	3	Classique	1	8	Il;les;avait;/soumises/;.	6;6;[7,4,5]				s01d08D.mp3					
7	4	Classique	1	1	Ce;musée;/accueillant/;chaque;année;20;000;visiteurs;sera;bientôt;gratuit;.			7		s01d01.mp3					
7	4	Classique	1	2	Je;l'ai;toujours;vue;/accueillante/;avec;les;nouveaux;stagiaires;.			3;2		s01d02.mp3					
7	4	Classique	1	3	Les;arbres;aux;branches;/tombantes/;sont;parfaits;pour;créer;de;l'ombre;.			3;4		s01d03.mp3					
7	4	Classique	1	4	La;nuit;/tombant/ils;ont;dû;arrêter;les;recherches;.			7		s01d04.mp3					
7	4	Classique	1	5	Il;existe;une;décision;de;justice;/tranchant/;la;question;.			7		s01d05.mp3					
7	4	Classique	1	6	Les;éléments;/tranchants/;sont;protégés;par;des;embouts;en;silicone;.			3;3		s01d06.mp3					
7	4	Classique	1	7	Il;s'est;fracturé;le;poignet;en;/glissant/;dans;les;escaliers;.			7		s01d07.mp3					
7	4	Classique	1	8	Attention;trottoirs;/glissants/;.			3;3		s01d08.mp3					
7	4	Classique	1	9	/Agaçant/;tout;le;monde;il;a;peu;à;peu;perdu;sa;crédibilité;.			7		s01d09.mp3					
7	4	Classique	1	10	Ils;sont;/agaçants/;.			3;3		s01d10.mp3					
7	4	Classique	1	11	Ils;refuseront;de;signer;des;accords;/contraignant/;les;états;à;légiférer;.			7		s01d11.mp3					
7	4	Classique	1	12	Des;accords;/contraignants/;sont;envisagés;.			3;3		s01d12.mp3					
7	5	Classique	1	1	/Présentée/;par;le;/premier/;ministre,;la;/nouvelle/;loi;/relative/;à;la;protection;de;la;nature;a;été;votée;hier;.	[3,2,6];[3,1,2];[3,2,2];[3,2,2]					s01d01.mp3	s01d02.mp3	s01d03.mp3	s01d04.mp3	
7	5	Classique	1	2	Ardemment;/souhaitée/,;elle;a;été;révisée;plusieurs;fois;car;les;députés;la;trouvaient;trop;/imprécise/;.	[3,2,6];[3,2,2]					s01d05.mp3	s01d06.mp3			
7	5	Classique	1	3	Elle;prévoit;la;création;de;structures;/régionales/;/indépendantes/;qui;auront;en;charge;les;sites;/naturels/;/classés/;.	[3,4,2];[3,4,2];[3,3,2];[3,3,6]					s01d07.mp3	s01d08.mp3	s01d09.mp3	s01d10.mp3	
7	5	Classique	1	4	Des;fonds;/nationaux/;/annuels/;leur;seront;versés;pour;assurer;leur;fonctionnement;.	[3,3,2];[3,3,2]					s01d11.mp3	s01d12.mp3			
